,win,firstBlood,firstTower,firstInhibitor,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,gameId
0,Win,FALSE,TRUE,TRUE,9,1,0,3,2,4247263043
2,Win,TRUE,TRUE,TRUE,5,1,0,2,2,4243963257
3,Win,TRUE,TRUE,FALSE,6,0,1,3,1,4241678498
4,Win,TRUE,TRUE,TRUE,11,3,2,2,2,4241538868
5,Win,TRUE,TRUE,TRUE,8,1,0,2,2,4241394461
6,Win,TRUE,FALSE,TRUE,7,1,1,4,1,4233222221
7,Win,TRUE,TRUE,TRUE,10,2,1,2,1,4233113995
8,Win,TRUE,TRUE,TRUE,8,1,1,3,1,4231100932
11,Win,TRUE,TRUE,TRUE,9,2,0,2,2,4228952659
12,Win,FALSE,FALSE,TRUE,7,1,0,3,1,4228244819
14,Win,TRUE,FALSE,TRUE,10,1,1,3,1,4222795586
15,Win,TRUE,TRUE,TRUE,8,1,1,4,2,4222632382
16,Win,TRUE,FALSE,TRUE,10,2,2,3,2,4219736584
17,Win,TRUE,TRUE,TRUE,7,2,1,2,2,4219647531
19,Win,FALSE,FALSE,TRUE,9,2,1,1,1,4219463634
21,Win,TRUE,TRUE,TRUE,6,1,0,1,2,4216998163
22,Win,TRUE,TRUE,TRUE,10,3,1,3,2,4214820366
23,Win,TRUE,TRUE,FALSE,5,0,0,1,1,4208036316
24,Win,TRUE,FALSE,TRUE,8,2,1,1,2,4205806443
25,Win,TRUE,TRUE,FALSE,5,0,0,2,1,4205778093
26,Win,FALSE,FALSE,TRUE,6,1,0,2,1,4205718397
27,Win,FALSE,TRUE,,11,3,2,1,1,4205609024
29,Win,TRUE,TRUE,FALSE,5,0,0,4,1,4201002719
32,Win,TRUE,TRUE,FALSE,6,0,1,2,1,4191827488
33,Win,FALSE,TRUE,TRUE,9,1,1,3,1,4186297500
34,Win,TRUE,TRUE,FALSE,5,0,0,2,2,4186224914
35,Win,TRUE,TRUE,TRUE,7,2,1,5,1,4186016838
36,Win,TRUE,TRUE,TRUE,9,1,0,4,1,4185880938
37,Win,FALSE,FALSE,TRUE,7,1,0,0,1,4183509170
38,Win,FALSE,FALSE,TRUE,7,1,0,2,0,4183404231
39,Win,TRUE,TRUE,FALSE,5,0,0,2,2,4169877994
41,Win,TRUE,TRUE,TRUE,7,1,1,3,1,4169722149
44,Win,TRUE,TRUE,TRUE,7,1,1,3,0,4161051062
45,Win,FALSE,FALSE,TRUE,9,2,2,5,1,4160473191
47,Win,TRUE,TRUE,TRUE,9,2,1,4,2,4158792026
48,Win,TRUE,FALSE,FALSE,5,0,1,4,0,4158690093
